P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Yu Darvish (15272818),Yu Darvish,15272818,P,11000,CHC@PIT 09/03/2020 01:35PM ET,CHC,26.25
,,,,,,,,,,,SP,Corey Kluber (15272819),Corey Kluber,15272819,P,10200,TEX@HOU 09/03/2020 02:10PM ET,TEX,3.65
,,,,,,,,,,,SP,Jon Lester (15272820),Jon Lester,15272820,P,9400,CHC@PIT 09/03/2020 01:35PM ET,CHC,9.81
,,,,,,,,,,,SP,Cristian Javier (15272821),Cristian Javier,15272821,P,9300,TEX@HOU 09/03/2020 02:10PM ET,HOU,14.89
,,,,,,,,,,,SP,Zack Greinke (15272687),Zack Greinke,15272687,P,9200,TEX@HOU 09/03/2020 02:10PM ET,HOU,17.34
,,,,,,,,,,,SP,Lance McCullers Jr. (15272822),Lance McCullers Jr.,15272822,P,8900,TEX@HOU 09/03/2020 02:10PM ET,HOU,12.31
,,,,,,,,,,,SP,Kyle Hendricks (15272824),Kyle Hendricks,15272824,P,8700,CHC@PIT 09/03/2020 01:35PM ET,CHC,17.24
,,,,,,,,,,,SP,Tyler Chatwood (15272825),Tyler Chatwood,15272825,P,8700,CHC@PIT 09/03/2020 01:35PM ET,CHC,11.88
,,,,,,,,,,,SP,Josh James (15272823),Josh James,15272823,P,8700,TEX@HOU 09/03/2020 02:10PM ET,HOU,1.11
,,,,,,,,,,,SP,Lance Lynn (15272688),Lance Lynn,15272688,P,8300,TEX@HOU 09/03/2020 02:10PM ET,TEX,24.4
