Name,FP,Price,Mins,Pts,Rebs,Ast,Stl,Blk,TO
Luka Doncic,57.9,10500,38.26,30.8,10.2,9.7,1.4,0.3,4.8
Joel Embiid,53.3,10100,36.27,27.1,14.1,3.6,1.0,1.5,3.6
Kawhi Leonard,50.9,9700,37.46,29.1,7.7,5.4,1.9,0.6,3.0
Nikola Jokic,49.6,9400,35.86,22.7,10.6,7.8,1.4,0.6,3.5
Kristaps Porzingis,46.5,8500,37.15,23.1,11,2.1,0.8,2.2,2.0
Jayson Tatum,45.7,9000,36.77,26.6,7.2,3.5,1.6,1.0,2.6
Caris LeVert,42.5,8400,35.63,23.6,5,7.5,1.4,0.2,3.2
Paul George,41.6,7900,35.67,22.5,6.9,4.8,1.8,0.5,3.3
Donovan Mitchell,40.5,8200,37.29,26.3,4.7,5.1,1.1,0.2,3.0
Pascal Siakam,39.4,7700,36.08,22.1,7.4,3.2,1.1,0.9,2.4
Rudy Gobert,38.4,7800,35.96,15.5,12.2,1.3,0.7,2.0,1.8
Kyle Lowry,38.3,8200,35.94,19.0,5,7.2,1.5,0.4,3.2
Fred VanVleet,37.8,7900,37.68,18.4,4,6.7,2.0,0.3,2.4
Kemba Walker,37.5,7200,35.66,22.0,4.6,5.3,1.1,0.4,2.5
Jamal Murray,37.4,7500,36.23,20.5,4.7,5.4,1.3,0.5,2.2
Jarrett Allen,37.1,7400,34.49,13.9,11.9,2.0,0.7,1.8,1.6
Tobias Harris,35.4,7100,36.15,19.1,7.3,2.9,0.9,0.7,1.6
Jaylen Brown,34.5,7000,36.38,20.6,7.1,2.1,1.1,0.4,2.3
Michael Porter Jr.,33.8,6800,30.48,16.8,8.8,1.4,0.9,1.1,1.7
Mike Conley,31.7,5800,36.62,17.7,3.9,5.4,1.1,0.1,2.4
Marcus Smart,29.0,5500,34.91,11.6,4.2,5.0,1.9,0.4,2.0
Louis Williams,28.6,5600,31.12,16.3,3.2,5.6,0.8,0.2,2.9
Montrezl Harrell,28.0,4700,25.26,14.8,6.4,1.5,0.5,1.1,1.5
Joe Ingles,27.3,5700,35.29,11.7,4.3,5.9,1.1,0.2,2.3
Al Horford,26.8,5200,30.17,9.4,6.9,3.5,0.8,0.9,1.2
Serge Ibaka,26.5,5600,25.14,13.2,7.7,1.3,0.4,0.9,1.8
Josh Richardson,26.1,5000,34.75,14.5,3.4,3.1,1.0,0.7,2.2
Jordan Clarkson,26.1,5400,31.02,17.4,3.4,2.3,0.7,0.3,1.8
OG Anunoby,25.6,4800,34.30,10.6,5.6,1.8,1.6,0.7,1.3
Tim Hardaway Jr.,25.6,5300,34.06,16.6,3.6,2.3,0.7,0.1,1.2
Timothe Luwawu-Cabarrot,25.1,5100,32.39,14.8,5.6,1.4,0.7,0.3,1.5
Marcus Morris,24.3,5100,32.42,13.0,5.2,1.7,0.8,0.6,1.7
Garrett Temple,24.0,4900,33.11,12.0,4.1,2.8,1.0,0.4,1.3
Marc Gasol,23.3,4200,24.47,7.9,5.9,3.0,0.8,0.9,1.3
Seth Curry,22.6,4600,31.67,13.1,3,2.6,0.8,0.3,1.3
Dorian Finney-Smith,22.6,4400,35.55,8.9,6.2,1.9,0.8,0.7,1.1
Paul Millsap,22.4,4500,26.42,10.4,5.8,1.5,0.8,0.6,1.4
