PG,SG,SF,PF,C,G,F,UTIL,
T.J. McConnell (15066738),Justin Holiday (15066718),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Jimmy Butler (15066507),James Harden (15066467),287.4
T.J. McConnell (15066738),Justin Holiday (15066718),Kawhi Leonard (15066476),Doug McDermott (15066762),Myles Turner (15066546),James Harden (15066467),Jimmy Butler (15066507),Aaron Holiday (15066648),280.2
Aaron Holiday (15066648),James Harden (15066467),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Justin Holiday (15066718),T.J. McConnell (15066738),287.4
James Harden (15066467),Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Paul George (15066489),T.J. McConnell (15066738),287.4
T.J. McConnell (15066738),James Harden (15066467),Justin Holiday (15066718),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Jimmy Butler (15066507),Paul George (15066489),286.4
Aaron Holiday (15066648),James Harden (15066467),Justin Holiday (15066718),Al Horford (15066548),Serge Ibaka (15066600),T.J. McConnell (15066738),Jimmy Butler (15066507),Bam Adebayo (15066512),282.1
James Harden (15066467),Jimmy Butler (15066507),Justin Holiday (15066718),Jakarr Sampson (15066850),Bam Adebayo (15066512),T.J. McConnell (15066738),Paul George (15066489),Aaron Holiday (15066648),286.4
T.J. McConnell (15066738),Jimmy Butler (15066507),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Paul George (15066489),Aaron Holiday (15066648),287.4
James Harden (15066467),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Jimmy Butler (15066507),Justin Holiday (15066718),287.4
T.J. McConnell (15066738),James Harden (15066467),Jimmy Butler (15066507),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Justin Holiday (15066718),Paul George (15066489),286.4
James Harden (15066467),Justin Holiday (15066718),Victor Oladipo (15066556),Marcus Morris Sr. (15066602),Al Horford (15066548),Aaron Holiday (15066648),Kawhi Leonard (15066476),T.J. McConnell (15066738),277.6
James Harden (15066467),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Justin Holiday (15066718),Jimmy Butler (15066507),287.4
