Name,FP,Price,Completions/Attempts,PassYards,PassTDs,INTs,Rushes,RushYds,RushTDs,Targets,Receptions,RecYards,RecTDs
Dalvin Cook,27.7,9500,0.000.00,0.00,0.00,0.00,23.39,113.21,1.01,3.45,29.86,0.17,4.71
Josh Allen,24.9,7600,23.3937.39,269.28,2.18,0.85,7.52,34.31,0.49,0.00,0.00,0.00,0.00
Kyler Murray,24.1,8200,24.4835.79,278.23,1.65,0.77,8.10,38.60,0.55,0.00,0.00,0.00,0.00
Patrick Mahomes,23.1,8000,25.3637.51,281.48,2.42,0.63,3.86,16.68,0.19,0.00,0.00,0.00,0.00
Alvin Kamara,22.2,8200,0.000.00,0.00,0.00,0.00,16.19,75.62,0.85,4.60,37.02,0.20,6.71
Derek Carr,20.8,5700,23.6234.21,274.37,2.08,0.57,2.90,11.98,0.18,0.00,0.00,0.00,0.00
Justin Herbert,20.1,7200,24.9736.86,278.14,1.84,0.76,3.27,14.08,0.18,0.00,0.00,0.00,0.00
DeAndre Hopkins,20.0,8100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,7.26,97.19,0.51,10.49
Cam Newton,19.7,6400,21.4232.84,229.94,1.45,0.90,6.98,34.65,0.37,0.00,0.00,0.00,0.00
Stefon Diggs,19.7,7600,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,6.95,88.74,0.65,10.82
Matt Ryan,19.0,5900,25.6939.53,293.01,1.84,0.71,1.13,4.18,0.04,0.00,0.00,0.00,0.00
Tom Brady,18.9,6600,25.0838.49,266.53,2.06,0.55,0.91,2.39,0.05,0.00,0.00,0.00,0.00
Daniel Jones,18.8,5500,21.2633.49,233.00,1.59,0.76,5.45,25.73,0.28,0.00,0.00,0.00,0.00
Tyreek Hill,18.6,7800,0.000.00,0.00,0.00,0.00,1.60,8.77,0.09,5.78,72.76,0.69,9.12
Keenan Allen,18.3,8000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,7.42,78.94,0.50,10.81
Josh Jacobs,18.2,7200,0.000.00,0.00,0.00,0.00,19.09,82.29,0.81,2.42,18.65,0.14,3.17
Calvin Ridley,17.7,7100,0.000.00,0.00,0.00,0.00,0.05,0.25,0.00,6.12,83.51,0.53,9.49
Travis Kelce,17.6,7000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39,75.95,0.61,9.06
Jared Goff,17.6,6000,23.2535.25,256.43,1.72,0.77,1.72,7.08,0.11,0.00,0.00,0.00,0.00
Philip Rivers,17.6,6100,24.5236.09,263.03,1.91,1.03,0.96,3.02,0.03,0.00,0.00,0.00,0.00
James Robinson,17.5,6300,0.000.00,0.00,0.00,0.00,16.67,74.51,0.56,3.40,25.58,0.14,4.64
Baker Mayfield,17.5,5300,20.1231.33,232.18,1.82,0.85,2.27,9.68,0.14,0.00,0.00,0.00,0.00
Ryan Tannehill,17.1,5800,21.9333.99,263.03,1.45,0.79,2.50,10.66,0.09,0.00,0.00,0.00,0.00
Kirk Cousins,16.8,6100,21.3931.84,249.69,1.69,0.65,1.00,3.94,0.06,0.00,0.00,0.00,0.00
Mike Davis,16.7,6900,0.000.00,0.00,0.00,0.00,16.22,65.04,0.50,3.96,23.59,0.15,5.15
Tua Tagovailoa,16.7,5900,21.4332.25,227.83,1.62,0.88,2.65,11.14,0.15,0.00,0.00,0.00,0.00
Adam Thielen,16.6,6800,0.000.00,0.00,0.00,0.00,0.21,1.13,0.01,5.85,75.45,0.51,9.06
Darren Waller,16.5,6000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,6.17,67.65,0.60,8.55
Derrick Henry,16.5,7900,0.000.00,0.00,0.00,0.00,20.24,94.09,0.83,1.01,8.48,0.04,1.40
D.J. Moore,15.9,6200,0.000.00,0.00,0.00,0.00,0.42,2.18,0.02,5.35,80.88,0.36,8.35
Michael Thomas,15.8,7400,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,6.19,72.30,0.39,9.42
Drew Lock,15.5,5100,21.0035.74,239.34,1.24,0.83,2.56,11.29,0.12,0.00,0.00,0.00,0.00
Nick Chubb,15.4,7100,0.000.00,0.00,0.00,0.00,17.20,86.40,0.69,1.24,9.69,0.08,1.72
Nick Mullens,15.4,5200,22.5134.24,260.40,1.27,0.81,1.06,4.42,0.05,0.00,0.00,0.00,0.00
Cooper Kupp,15.2,6400,0.000.00,0.00,0.00,0.00,0.13,0.71,0.01,5.68,66.89,0.46,8.28
Ryan Finley,15.0,4900,21.5135.82,243.15,1.17,1.06,2.32,9.59,0.13,0.00,0.00,0.00,0.00
Taysom Hill,14.8,6200,19.8031.35,217.72,1.16,1.03,2.13,9.75,0.14,0.35,3.03,0.01,0.65
Robert Woods,14.8,5800,0.000.00,0.00,0.00,0.00,1.07,5.92,0.07,5.37,62.82,0.36,8.19
Justin Jefferson,14.5,6300,0.000.00,0.00,0.00,0.00,0.15,0.79,0.01,4.88,71.21,0.39,7.50
Giovani Bernard,14.5,5700,0.000.00,0.00,0.00,0.00,15.29,61.61,0.39,3.13,23.23,0.10,4.67
Robby Anderson,14.2,6100,0.000.00,0.00,0.00,0.00,0.20,1.00,0.01,5.35,64.35,0.38,8.73
DeVante Parker,14.1,5900,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97,66.54,0.42,8.29
A.J. Brown,14.1,6700,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,74.00,0.36,7.33
D.J. Chark,13.6,5200,0.000.00,0.00,0.00,0.00,0.16,0.90,0.01,5.22,61.20,0.35,8.64
Mike Williams,13.6,5000,0.000.00,0.00,0.00,0.00,0.05,0.31,0.00,4.26,70.33,0.37,7.17
Todd Gurley,13.5,5500,0.000.00,0.00,0.00,0.00,13.47,57.98,0.78,1.52,11.21,0.08,2.18
Kareem Hunt,13.4,5600,0.000.00,0.00,0.00,0.00,10.32,47.90,0.38,2.76,24.57,0.19,3.77
Chris Godwin,13.2,6000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95,60.40,0.38,7.44
Clyde Edwards-Helaire,13.1,6400,0.000.00,0.00,0.00,0.00,12.18,51.56,0.43,2.58,18.48,0.15,3.52
Deebo Samuel,12.9,5400,0.000.00,0.00,0.00,0.00,1.30,6.37,0.06,4.40,59.45,0.26,6.92
Wayne Gallman,12.7,5000,0.000.00,0.00,0.00,0.00,14.07,58.91,0.44,2.15,15.25,0.10,3.01
Kenyan Drake,12.6,5400,0.000.00,0.00,0.00,0.00,13.95,63.64,0.48,1.63,12.94,0.08,2.22
Jamison Crowder,12.6,5400,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.98,56.83,0.33,8.32
Ronald Jones,12.6,6100,0.000.00,0.00,0.00,0.00,12.90,57.86,0.50,2.06,13.69,0.09,2.76
Tee Higgins,12.6,4700,0.000.00,0.00,0.00,0.00,0.38,1.99,0.02,4.55,60.69,0.28,7.58
Jerry Jeudy,12.6,5100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.61,61.90,0.30,8.18
Kalen Ballage,12.4,5800,0.000.00,0.00,0.00,0.00,15.03,60.26,0.42,2.00,13.60,0.09,2.69
Curtis Samuel,12.4,5100,0.000.00,0.00,0.00,0.00,1.62,8.40,0.09,4.42,45.92,0.33,6.97
Tyler Boyd,12.3,5000,0.000.00,0.00,0.00,0.00,0.30,1.60,0.02,4.90,55.48,0.26,7.88
Cole Beasley,12.2,5500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.43,53.75,0.40,7.10
Raheem Mostert,12.2,5600,0.000.00,0.00,0.00,0.00,13.59,64.89,0.40,1.57,14.17,0.06,2.18
Jarvis Landry,12.0,5200,0.000.00,0.00,0.00,0.00,0.56,3.25,0.03,4.19,53.35,0.33,7.31
Antonio Brown,12.0,5700,0.000.00,0.00,0.00,0.00,0.17,0.94,0.01,4.37,49.80,0.41,7.17
Sterling Shepard,11.9,5100,0.000.00,0.00,0.00,0.00,0.14,0.74,0.01,4.72,49.79,0.34,7.38
Christian Kirk,11.7,5800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,54.54,0.32,6.82
Jakobi Meyers,11.5,5300,0.000.00,0.00,0.00,0.00,0.04,0.21,0.00,4.34,53.89,0.29,6.90
Mike Evans,11.3,6100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.06,50.97,0.36,6.95
Jonathan Taylor,11.3,5900,0.000.00,0.00,0.00,0.00,11.93,48.49,0.47,1.76,13.42,0.09,2.30
Denzel Mims,11.2,3500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,52.39,0.28,7.10
Evan Engram,11.2,4500,0.000.00,0.00,0.00,0.00,0.59,2.85,0.06,4.00,43.35,0.36,6.78
Melvin Gordon,11.2,5200,0.000.00,0.00,0.00,0.00,13.07,53.62,0.38,1.89,13.61,0.08,2.85
Nyheim Hines,11.1,4600,0.000.00,0.00,0.00,0.00,6.66,26.75,0.26,3.28,25.54,0.17,4.33
Austin Hooper,11.0,3800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,4.09,44.09,0.41,5.91
Darius Slayton,10.9,4900,0.000.00,0.00,0.00,0.00,0.06,0.29,0.00,3.62,53.64,0.32,6.18
Leonard Fournette,10.9,4900,0.000.00,0.00,0.00,0.00,9.04,37.03,0.28,2.95,18.02,0.12,3.88
Michael Pittman Jr.,10.8,5000,0.000.00,0.00,0.00,0.00,0.23,1.23,0.01,3.96,48.29,0.30,5.98
Brandon Aiyuk,10.7,5600,0.000.00,0.00,0.00,0.00,0.39,1.90,0.02,3.92,51.02,0.23,6.31
Corey Davis,10.7,4900,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.91,51.92,0.26,6.65
T.Y. Hilton,10.6,3900,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.89,49.68,0.29,6.37
Hunter Henry,10.6,4800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.99,43.24,0.38,5.80
Jakeem Grant,10.4,3700,0.000.00,0.00,0.00,0.00,0.07,0.37,0.00,4.08,45.09,0.31,6.26
Rob Gronkowski,10.1,4400,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,40.93,0.43,5.39
Chase Edmonds,10.0,5300,0.000.00,0.00,0.00,0.00,5.71,24.03,0.18,3.29,24.48,0.14,4.32
Josh Reynolds,10.0,4300,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.59,45.89,0.30,6.04
Tim Patrick,9.9,4900,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.64,49.50,0.22,6.47
Breshad Perriman,9.9,4200,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,48.58,0.27,6.41
Hayden Hurst,9.8,3900,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.78,41.07,0.32,5.95
Damien Harris,9.6,5800,0.000.00,0.00,0.00,0.00,13.06,58.84,0.47,0.46,3.61,0.02,0.65
Damiere Byrd,9.6,4100,0.000.00,0.00,0.00,0.00,0.22,1.23,0.01,3.57,43.32,0.26,5.66
Teddy Bridgewater,9.5,6300,12.5017.90,135.73,0.84,0.40,1.55,6.60,0.08,0.00,0.00,0.00,0.00
Zack Moss,9.5,4800,0.000.00,0.00,0.00,0.00,10.85,45.00,0.44,1.13,7.67,0.07,1.61
Gardner Minshew,9.4,5600,12.4118.79,128.17,0.89,0.36,1.61,7.18,0.07,0.00,0.00,0.00,0.00
Russell Gage,9.3,4800,0.000.00,0.00,0.00,0.00,0.01,0.05,0.00,3.87,39.14,0.26,6.08
Henry Ruggs,9.3,4300,0.000.00,0.00,0.00,0.00,0.68,3.78,0.04,2.94,41.52,0.27,4.53
Hunter Renfrow,9.3,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.21,43.75,0.29,4.74
Noah Fant,9.3,4200,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.65,41.35,0.25,6.33
Larry Fitzgerald,9.2,3800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.83,39.40,0.24,5.82
Frank Gore,9.1,4300,0.000.00,0.00,0.00,0.00,13.22,52.86,0.25,1.15,8.50,0.05,1.66
Sammy Watkins,9.0,4700,0.000.00,0.00,0.00,0.00,0.03,0.14,0.00,3.14,37.38,0.35,5.08
James White,8.9,4500,0.000.00,0.00,0.00,0.00,2.21,9.09,0.07,3.49,29.33,0.20,4.96
Nelson Agholor,8.9,4900,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,41.00,0.30,4.67
Darrell Henderson,8.8,5100,0.000.00,0.00,0.00,0.00,10.42,43.08,0.38,1.11,8.27,0.05,1.48
Latavius Murray,8.8,5900,0.000.00,0.00,0.00,0.00,10.96,44.72,0.43,0.87,6.53,0.03,1.29
Devin Singletary,8.8,4200,0.000.00,0.00,0.00,0.00,6.88,29.81,0.23,2.21,14.61,0.13,3.18
A.J. Green,8.7,3600,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.21,41.09,0.23,6.38
Mike Gesicki,8.6,4300,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.26,35.19,0.31,4.92
Jonnu Smith,8.6,4100,0.000.00,0.00,0.00,0.00,0.11,0.50,0.06,3.22,34.56,0.25,5.05
Jordan Reed,8.5,3600,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.52,36.90,0.22,5.12
Myles Gaskin,8.4,5700,0.000.00,0.00,0.00,0.00,8.36,35.11,0.32,1.58,10.43,0.07,2.10
Chris Conley,8.3,3000,0.000.00,0.00,0.00,0.00,0.16,0.90,0.01,3.11,39.33,0.19,5.36
Julio Jones,8.3,6500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.08,40.84,0.19,4.76
Rashard Higgins,8.2,4700,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,38.45,0.26,4.55
Sam Darnold,8.1,5100,10.3016.88,114.68,0.72,0.44,1.52,6.56,0.09,0.00,0.00,0.00,0.00
K.J. Hamler,8.1,3500,0.000.00,0.00,0.00,0.00,0.23,1.32,0.01,3.07,37.32,0.18,5.36
Jerick McKinnon,8.0,4700,0.000.00,0.00,0.00,0.00,5.68,23.02,0.12,2.48,19.98,0.09,3.48
P.J. Walker,8.0,5400,11.2417.83,120.68,0.67,0.59,1.55,6.48,0.08,0.00,0.00,0.00,0.00
Emmanuel Sanders,8.0,4800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,38.10,0.20,5.17
Tyler Eifert,8.0,2600,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,3.14,30.48,0.29,4.83
Gabriel Davis,7.9,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.72,35.31,0.27,4.49
Phillip Lindsay,7.8,4400,0.000.00,0.00,0.00,0.00,8.80,39.52,0.21,1.40,8.86,0.05,2.09
Jake Luton,7.5,5200,11.5518.96,124.91,0.62,0.64,0.97,4.23,0.05,0.00,0.00,0.00,0.00
Golden Tate,7.5,3500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,35.23,0.20,4.47
Ty Johnson,7.4,4000,0.000.00,0.00,0.00,0.00,8.94,38.10,0.22,1.21,7.55,0.06,1.64
Joe Flacco,7.4,5000,10.3016.98,117.85,0.66,0.38,0.74,2.65,0.04,0.00,0.00,0.00,0.00
Trey Burton,7.4,3200,0.000.00,0.00,0.00,0.00,0.10,0.44,0.01,2.78,26.81,0.30,4.07
Malcolm Brown,7.3,4700,0.000.00,0.00,0.00,0.00,7.12,28.84,0.28,1.39,9.79,0.06,1.87
N'Keal Harry,7.2,3400,0.000.00,0.00,0.00,0.00,0.03,0.18,0.00,2.82,31.32,0.21,4.66
Salvon Ahmed,7.2,5100,0.000.00,0.00,0.00,0.00,8.68,34.78,0.34,0.87,5.70,0.04,1.13
Zach Pascal,6.7,4100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,30.10,0.20,3.85
Tyler Higbee,6.6,3700,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.64,27.15,0.21,4.04
Kyle Rudolph,6.5,2800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48,26.34,0.24,3.59
Devontae Booker,6.3,4000,0.000.00,0.00,0.00,0.00,5.41,22.21,0.19,1.40,11.62,0.07,1.82
Irv Smith Jr.,6.2,3100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.37,24.95,0.23,3.51
Rex Burkhead,6.2,4000,0.000.00,0.00,0.00,0.00,3.39,14.03,0.12,1.92,16.28,0.09,2.67
Cam Akers,5.9,4200,0.000.00,0.00,0.00,0.00,8.18,33.33,0.29,0.40,2.89,0.02,0.54
Le'Veon Bell,5.8,4500,0.000.00,0.00,0.00,0.00,6.35,24.28,0.17,1.21,8.34,0.06,1.54
Kendrick Bourne,5.6,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.14,26.82,0.13,3.52
Mecole Hardman,5.6,4200,0.000.00,0.00,0.00,0.00,0.33,1.75,0.02,1.73,24.90,0.18,2.63
David Njoku,5.5,2700,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,22.07,0.25,2.98
Khadarel Hodge,5.5,3200,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,25.87,0.17,3.14
John Brown,5.5,4800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,24.44,0.21,3.55
Brian Hill,5.5,4000,0.000.00,0.00,0.00,0.00,6.05,25.39,0.18,0.95,7.05,0.04,1.29
Christian Blake,5.4,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,24.74,0.13,3.48
Olamide Zaccheaus,5.4,3800,0.000.00,0.00,0.00,0.00,0.11,0.56,0.01,1.93,25.25,0.14,3.03
Mo Alie-Cox,5.3,2700,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,22.22,0.20,2.65
Joshua Kelley,5.2,4000,0.000.00,0.00,0.00,0.00,3.93,16.06,0.10,1.45,10.68,0.08,1.92
Jared Cook,5.1,3500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,1.84,26.27,0.11,3.18
Dawson Knox,5.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,19.85,0.23,2.80
Gerald Everett,5.1,3300,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,20.26,0.17,3.23
