Name,FP,Price,PointsA,YdsA,Sacks,INTs,RecFumbles,TD
Pittsburgh D/ST,9.3,4600,17.75,315.78,3.08,1.00,0.43,0.24
Los Angeles Chargers D/ST,8.2,4000,18.25,314.92,2.67,0.77,0.42,0.24
Cleveland D/ST,8.2,3000,22.25,331.80,3.34,0.73,0.77,0.19
Minnesota D/ST,7.7,3300,20.25,347.92,2.30,0.91,0.52,0.21
Washington D/ST,7.6,2900,22.50,343.25,3.24,0.72,0.54,0.19
Miami D/ST,7.1,3400,21.00,340.86,2.06,0.84,0.52,0.2
Detroit D/ST,6.9,2700,22.75,327.44,2.37,0.98,0.42,0.19
New England D/ST,6.8,3000,23.75,368.34,2.64,0.77,0.56,0.18
New Orleans D/ST,6.3,3200,22.75,371.93,2.38,0.59,0.46,0.19
Baltimore D/ST,6.2,3500,22.25,367.99,1.94,0.78,0.41,0.19
Cincinnati D/ST,6.0,2300,24.00,346.65,2.64,0.53,0.43,0.18
Houston D/ST,5.7,2600,25.25,348.05,2.02,0.89,0.44,0.17
Denver D/ST,5.7,2400,24.50,336.25,2.00,0.72,0.51,0.17
Philadelphia D/ST,5.5,2800,25.25,340.95,2.05,0.85,0.33,0.16
Carolina D/ST,5.5,2700,25.25,375.60,2.14,0.62,0.51,0.17
Tennessee D/ST,5.3,2500,27.25,359.10,2.35,0.64,0.55,0.16
Green Bay D/ST,5.2,2800,26.25,361.16,1.68,0.99,0.38,0.16
Dallas D/ST,4.9,2200,27.25,361.39,2.18,0.63,0.49,0.15
Atlanta D/ST,4.7,2300,26.25,278.13,1.50,1.00,0.21,0.16
Jacksonville D/ST,4.6,2100,28.25,376.22,1.52,0.90,0.60,0.13
Indianapolis D/ST,4.4,3100,24.75,365.75,1.80,0.37,0.33,0.17
New York Jets D/ST,4.3,2000,27.75,373.09,1.82,0.71,0.44,0.13
