,Name,FP,PA,BB,1B,2B,3B,HR,R,RBI,SB
0,Trea Turner,11.62,4.82,0.345,0.855,0.26,0.03,0.255,0.815,0.76,0.21500000000000002
1,Mike Trout,11.08,4.36,0.585,0.5,0.195,0.02,0.39,0.7050000000000001,0.72,0.095
2,Tim Anderson,10.56,4.855,0.245,0.95,0.245,0.055,0.15,0.685,0.5900000000000001,0.295
3,Luke Voit,10.6,4.7,0.485,0.66,0.20500000000000002,0.01,0.35,0.72,0.77,0.01
4,Teoscar Hernandez,10.969999999999999,4.665,0.485,0.595,0.25,0.035,0.275,0.725,0.8999999999999999,0.12000000000000001
5,Bryce Harper,11.559999999999999,4.495,0.7250000000000001,0.575,0.24,0.02,0.325,0.86,0.77,0.095
6,Manny Machado,9.825,4.529999999999999,0.43,0.6499999999999999,0.265,0.015,0.23500000000000001,0.67,0.625,0.11
7,Luis Robert,10.02,4.195,0.35,0.585,0.21000000000000002,0.03,0.285,0.625,0.76,0.125
8,Jose Abreu,9.955,4.525,0.345,0.62,0.30500000000000005,0.030000000000000002,0.27,0.665,0.775,0.015
9,Rhys Hoskins,10.425,4.6,0.71,0.52,0.24,0.03,0.26,0.825,0.75,0.04
10,Clint Frazier,9.504999999999999,4.485,0.45999999999999996,0.605,0.255,0.03,0.24,0.5900000000000001,0.6599999999999999,0.065
11,Randal Grichuk,10.8,4.885,0.345,0.7050000000000001,0.24,0.015,0.325,0.7549999999999999,0.85,0.025
12,Cavan Biggio,10.165,4.99,0.7749999999999999,0.7,0.27,0.025,0.135,0.755,0.6000000000000001,0.175
13,Fernando Tatis Jr.,10.26,4.635,0.455,0.595,0.20500000000000002,0.04,0.30000000000000004,0.655,0.64,0.125
14,Yoan Moncada,9.355,4.52,0.46,0.75,0.19,0.035,0.195,0.645,0.625,0.08
15,Eric Hosmer,8.74,4.42,0.28,0.745,0.2,0.01,0.215,0.585,0.635,0.05
16,J.T. Realmuto,10.055,4.385,0.29500000000000004,0.645,0.245,0.025,0.295,0.675,0.765,0.055
17,Gio Urshela,8.955,4.375,0.41000000000000003,0.64,0.19,0.035,0.22999999999999998,0.5449999999999999,0.6799999999999999,0.034999999999999996
18,Mookie Betts,10.105,4.635,0.53,0.65,0.295,0.005,0.23,0.72,0.56,0.13
19,Corey Seager,9.825,4.52,0.375,0.735,0.29500000000000004,0.01,0.235,0.6950000000000001,0.645,0.04
20,Jake Cronenworth,8.594999999999999,4.140000000000001,0.36,0.75,0.27,0.015,0.18,0.5,0.48,0.08
21,Rowdy Tellez,9.120000000000001,4.445,0.44499999999999995,0.56,0.255,0.0,0.22999999999999998,0.745,0.66,0.02
