Name,Team,Game,Pos,PA,H,1B,2B,3B,HR,R,RBI,SB,CS,BB,SO,Yahoo,Fanduel,DraftKings
Bryce Harper, Phillies, WSH @ PHI, RF, 4.53, 1.13, .55, .25, .01, .32, .87, .84, .09, .03, .79, .92, 11.80, 15.69, 11.62
Juan Soto, Nationals, WSH @ PHI, LF, 4.77, 1.18, .62, .25, .03, .27, .78, .77, .07, .03, .70, .88, 11.04, 14.61, 10.93
Randal Grichuk, Blue Jays, TOR @ BOS, CF, 4.92, 1.23, .64, .29, .03, .26, .82, .85, .05, .03, .42, 1.14, 10.65, 14.28, 10.70
Teoscar Hernandez, Blue Jays, TOR @ BOS, LF, 4.70, 1.13, .63, .24, .03, .24, .71, .83, .10, .06, .54, 1.33, 10.31, 13.82, 10.34
Trea Turner, Nationals, WSH @ PHI, SS, 4.88, 1.28, .84, .26, .04, .14, .73, .55, .33, .09, .40, .89, 10.15, 13.55, 10.54
Cody Bellinger, Dodgers, ARI @ LAD, RF, 4.30, 1.05, .52, .23, .01, .30, .66, .81, .08, .02, .55, .84, 10.26, 13.65, 10.19
Jonathan Villar, Blue Jays, TOR @ BOS, OF, 4.81, 1.21, .83, .24, .02, .11, .68, .64, .34, .11, .50, 1.18, 9.98, 13.41, 10.32
Mookie Betts, Dodgers, ARI @ LAD, RF, 4.62, 1.14, .64, .29, .01, .20, .73, .55, .18, .05, .59, .79, 10.07, 13.28, 10.11
Rhys Hoskins, Phillies, WSH @ PHI, 1B, 4.63, .96, .48, .23, .02, .23, .85, .64, .04, .02, .80, 1.11, 10.09, 13.39, 9.85
Rafael Devers, Red Sox, TOR @ BOS, 3B, 4.67, 1.23, .69, .31, .03, .20, .77, .70, .08, .05, .38, 1.00, 9.79, 13.07, 9.91
J.D. Martinez, Red Sox, TOR @ BOS, LF, 4.55, 1.14, .63, .28, .02, .22, .71, .73, .02, .01, .62, .98, 9.91, 13.14, 9.81
J.T. Realmuto, Phillies, WSH @ PHI, C, 4.42, 1.19, .68, .26, .03, .22, .68, .87, .05, .02, .34, .97, 9.68, 13.06, 9.81
Fernando Tatis Jr., Padres, SD @ LAA, SS, 4.60, 1.10, .63, .17, .02, .28, .65, .63, .18, .08, .38, 1.46, 9.76, 12.94, 9.92
Anthony Rizzo, Cubs, CHC @ PIT, 1B, 4.80, 1.07, .65, .25, .02, .16, .71, .68, .06, .03, .86, .67, 9.91, 13.11, 9.73
Andrew McCutchen, Phillies, WSH @ PHI, LF, 4.74, 1.25, .78, .25, .01, .20, .78, .62, .09, .05, .44, .79, 9.73, 12.93, 9.86
Mike Trout, Angels, SD @ LAA, CF, 4.32, .88, .44, .15, .02, .27, .64, .64, .12, .03, .77, 1.16, 9.85, 12.99, 9.66
Vladimir Guerrero Jr., Blue Jays, TOR @ BOS, 3B, 4.59, 1.24, .78, .27, .02, .16, .69, .76, .04, .02, .54, .70, 9.65, 12.87, 9.69
Ian Happ, Cubs, CHC @ PIT, CF, 5.02, 1.12, .65, .29, .02, .17, .70, .64, .09, .05, .64, 1.27, 9.63, 12.74, 9.59
Cavan Biggio, Blue Jays, TOR @ BOS, 2B, 5.02, 1.00, .64, .22, .02, .12, .74, .52, .15, .06, .94, 1.25, 9.69, 12.78, 9.53
Corey Seager, Dodgers, ARI @ LAD, SS, 4.50, 1.23, .69, .32, .01, .21, .74, .66, .03, .01, .39, .74, 9.49, 12.60, 9.55
Luke Voit, Yankees, NYY @ NYM, 1B, 4.70, 1.12, .65, .19, .01, .27, .71, .64, .01, .01, .53, 1.23, 9.56, 12.59, 9.50
Alex Verdugo, Red Sox, TOR @ BOS, CF, 4.79, 1.30, .81, .35, .02, .12, .73, .57, .08, .03, .45, .79, 9.31, 12.32, 9.45
Whit Merrifield, Royals, CWS @ KC, 2B, 4.75, 1.26, .87, .26, .04, .09, .65, .47, .26, .10, .43, .72, 9.19, 12.18, 9.52
Kris Bryant, Cubs, CHC @ PIT, 3B, 4.92, 1.10, .67, .28, .02, .14, .71, .61, .05, .04, .70, 1.11, 9.35, 12.37, 9.26
Max Muncy, Dodgers, ARI @ LAD, 1B, 4.40, .86, .42, .17, .00, .26, .67, .67, .03, .01, .77, 1.16, 9.42, 12.46, 9.15
Xander Bogaerts, Red Sox, TOR @ BOS, SS, 4.44, 1.15, .69, .29, .02, .15, .62, .73, .07, .02, .51, .79, 9.21, 12.29, 9.25
Eloy Jimenez, White Sox, CWS @ KC, LF, 4.79, 1.19, .74, .21, .02, .22, .70, .67, .02, .01, .40, 1.18, 9.16, 12.17, 9.24
Didi Gregorius, Phillies, WSH @ PHI, SS, 4.31, 1.12, .66, .22, .03, .20, .65, .74, .05, .02, .36, .50, 9.01, 12.09, 9.12
