,Lineup
0,"['Spencer Turnbull (15258611)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Joey Wendle (15258122)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'J.D. Martinez (15258003)', 'Avisail Garcia (15258163)', 'Trent Grisham (15258083)']"
1,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Michael Chavis (15258110)', 'DJ LeMahieu (15258035)', 'Josh Donaldson (15258175)', 'Xander Bogaerts (15258001)', 'Hunter Renfroe (15258151)', 'Trent Grisham (15258083)', 'Ian Happ (15258086)']"
2,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Jake Cronenworth (15258100)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Wil Myers (15258127)', 'Franmil Reyes (15258094)']"
3,"['Adrian Houser (15258614)', 'Jose Berrios (15257965)', 'Daulton Varsho (15258498)', 'Luke Voit (15258071)', 'Keston Hiura (15258000)', 'Manny Machado (15258022)', 'Xander Bogaerts (15258001)', 'Ian Happ (15258086)', 'Wil Myers (15258127)', 'Franmil Reyes (15258094)']"
4,"['Walker Buehler (15258586)', 'Dinelson Lamet (15257959)', 'Daulton Varsho (15258498)', 'Mitch Moreland (15258080)', 'Kevin Newman (15258129)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Christian Yelich (15258006)', 'Wil Myers (15258127)', 'Adam Frazier (15258194)']"
5,"['Charlie Morton (15257964)', 'Dinelson Lamet (15257959)', 'Yasmani Grandal (15258024)', 'Bobby Dalbec (15258279)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Franmil Reyes (15258094)', 'Christian Yelich (15258006)', 'Randy Arozarena (15258226)']"
6,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Kevin Newman (15258129)', 'Josh Donaldson (15258175)', 'Adalberto Mondesi (15258218)', 'Franmil Reyes (15258094)', 'Ian Happ (15258086)', 'Christian Yelich (15258006)']"
7,"['Dinelson Lamet (15257959)', 'Charlie Morton (15257964)', 'J.T. Realmuto (15258010)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Adam Frazier (15258194)', 'Ian Happ (15258086)', 'Eddie Rosario (15258085)']"
8,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Carlos Santana (15258097)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Wil Myers (15258127)', 'Mike Tauchman (15258190)']"
9,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)', 'Aaron Hicks (15258148)']"
10,"['Max Scherzer (15257957)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Anthony Rizzo (15258004)', 'Michael Chavis (15258110)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Tyler Naquin (15258296)', 'Trent Grisham (15258083)', 'Ben Gamel (15258252)']"
11,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Yasmani Grandal (15258024)', 'Carlos Santana (15258097)', 'Adam Frazier (15258194)', 'DJ LeMahieu (15258035)', 'Jorge Polanco (15258025)', 'Franmil Reyes (15258094)', 'Randy Arozarena (15258226)', 'J.D. Martinez (15258003)']"
12,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'Mike Brosseau (15258014)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Christian Yelich (15258006)', 'Randy Arozarena (15258226)', 'Adam Frazier (15258194)']"
13,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Josh Bell (15258155)', 'Michael Chavis (15258110)', 'Manny Machado (15258022)', 'Jorge Polanco (15258025)', 'Victor Reyes (15258186)', 'J.D. Martinez (15258003)', 'AJ Pollock (15258091)']"
14,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'J.T. Realmuto (15258010)', 'Josh Bell (15258155)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Tyler Naquin (15258296)', 'Randy Arozarena (15258226)', 'Jorge Soler (15258074)']"
15,"['Dinelson Lamet (15257959)', 'Zack Wheeler (15257960)', 'Omar Narvaez (15258140)', 'Cody Bellinger (15257984)', 'Luis Urias (15258105)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Daulton Varsho (15258498)', 'Christian Yelich (15258006)']"
16,"['Dinelson Lamet (15257959)', 'Jordan Montgomery (15257966)', 'Roberto Perez (15258281)', 'Anthony Rizzo (15258004)', 'Tyler Wade (15258388)', 'Yoan Moncada (15257995)', 'Javier Baez (15258058)', 'Jay Bruce (15258298)', 'Cody Bellinger (15257984)', 'Christian Yelich (15258006)']"
17,"['Walker Buehler (15258586)', 'Max Scherzer (15257957)', 'Kurt Suzuki (15258087)', 'Carlos Santana (15258097)', 'Keston Hiura (15258000)', 'DJ LeMahieu (15258035)', 'Adalberto Mondesi (15258218)', 'Victor Robles (15258396)', 'Avisail Garcia (15258163)', 'Gregory Polanco (15258267)']"
18,"['Adrian Houser (15258614)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Edwin Encarnacion (15258102)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Victor Reyes (15258186)', 'Aaron Hicks (15258148)', 'Juan Soto (15257981)']"
