"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Clayton Kershaw","10,300","SP","ARI@LAD","LAD","ARI","43.4"
"Andrew Heaney","8,400","SP","SD@LAA","LAA","SD","42.8"
"Mike Clevinger","8,700","SP","SD@LAA","SD","LAA","35.9"
"Randal Grichuk","3,800","OF","TOR@BOS","TOR","BOS","31.5"
"J.T. Realmuto","5,100","C","WAS@PHI","PHI","WAS","29.9"
"Jay Bruce","2,900","OF","WAS@PHI","PHI","WAS","29.5"
"Andrew McCutchen","4,100","OF","WAS@PHI","PHI","WAS","29.4"
"Jonathan Villar","4,100","2B/SS","TOR@BOS","TOR","BOS","29.0"
"Jeff McNeil","2,500","2B/OF","NYY@NYM","NYM","NYY","28.8"
"Rhys Hoskins","4,700","1B","WAS@PHI","PHI","WAS","26.4"
"Taijuan Walker","4,800","SP","TOR@BOS","TOR","BOS","25.9"
"Fernando Tatis Jr.","5,200","SS","SD@LAA","SD","LAA","25.2"
"Bryce Harper","6,000","OF","WAS@PHI","PHI","WAS","22.6"
"Cavan Biggio","4,900","2B/OF","TOR@BOS","TOR","BOS","21.5"
"J.D. Davis","2,800","3B","NYY@NYM","NYM","NYY","21.4"
"Teoscar Hernandez","4,400","OF","TOR@BOS","TOR","BOS","21.0"
"Cody Bellinger","5,200","1B/OF","ARI@LAD","LAD","ARI","20.2"
"Dylan Cease","9,500","SP","CWS@KC","CWS","KC","20.1"
"Manny Machado","4,600","3B","SD@LAA","SD","LAA","18.5"
"Juan Soto","5,600","OF","WAS@PHI","WAS","PHI","17.1"
"Trea Turner","5,300","SS","WAS@PHI","WAS","PHI","15.8"
"Danny Duffy","7,100","SP","CWS@KC","KC","CWS","14.9"
"DJ LeMahieu","4,300","2B/3B","NYY@NYM","NYY","NYM","14.7"
"Yasmani Grandal","4,800","C","CWS@KC","CWS","KC","14.6"
"Mookie Betts","5,800","OF","ARI@LAD","LAD","ARI","14.4"
"Gary Sanchez","3,800","C","NYY@NYM","NYY","NYM","14.4"
"Didi Gregorius","4,400","SS","WAS@PHI","PHI","WAS","14.2"
"A.J. Pollock","3,500","OF","ARI@LAD","LAD","ARI","14.2"
"Rafael Devers","5,200","3B","TOR@BOS","BOS","TOR","13.2"
"Rowdy Tellez","2,800","1B","TOR@BOS","TOR","BOS","12.2"
"Adam Eaton","3,400","OF","WAS@PHI","WAS","PHI","11.9"
"Max Muncy","5,000","1B/3B","ARI@LAD","LAD","ARI","11.3"
"Wilson Ramos","2,500","C","NYY@NYM","NYM","NYY","11.2"
"Lourdes Gurriel Jr.","3,900","OF","TOR@BOS","TOR","BOS","11.1"
"Danny Jansen","3,100","C","TOR@BOS","TOR","BOS","10.6"
"Jean Segura","4,500","2B","WAS@PHI","PHI","WAS","10.3"
"Aaron Hicks","3,200","OF","NYY@NYM","NYY","NYM","10.3"
"Alex Verdugo","4,600","OF","TOR@BOS","BOS","TOR","10.2"
"Eric Thames","3,500","1B","WAS@PHI","WAS","PHI","9.9"
"Michael Conforto","3,000","OF","NYY@NYM","NYM","NYY","9.2"
"Martin Perez","6,400","SP","TOR@BOS","BOS","TOR","8.9"
"Adalberto Mondesi","3,000","SS","CWS@KC","KC","CWS","8.8"
"Vladimir Guerrero Jr.","4,300","1B","TOR@BOS","TOR","BOS","8.4"
"Luke Voit","3,900","1B","NYY@NYM","NYY","NYM","8.0"
"Tim Anderson","5,500","SS","CWS@KC","CWS","KC","7.6"
"Asdrubal Cabrera","4,400","1B/3B","WAS@PHI","WAS","PHI","7.5"
"Xander Bogaerts","5,100","SS","TOR@BOS","BOS","TOR","7.3"
"Pete Alonso","3,000","1B","NYY@NYM","NYM","NYY","7.2"
"Alec Bohm","3,300","3B","WAS@PHI","PHI","WAS","7.0"
"Amed Rosario","2,000","SS","NYY@NYM","NYM","NYY","6.9"
"Todd Frazier","3,700","1B/3B","NYY@NYM","NYM","NYY","6.5"
"Will Smith","3,500","C","ARI@LAD","LAD","ARI","6.5"
"Eloy Jimenez","4,800","OF","CWS@KC","CWS","KC","6.0"
"Yoan Moncada","5,400","3B","CWS@KC","CWS","KC","5.9"
"Luke Weaver","8,200","SP","ARI@LAD","ARI","LAD","5.8"
"Jackie Bradley Jr.","2,800","OF","TOR@BOS","BOS","TOR","5.6"
"J.D. Martinez","5,100","OF","TOR@BOS","BOS","TOR","5.1"
"Gio Urshela","3,600","3B","NYY@NYM","NYY","NYM","4.8"
"Victor Robles","2,100","OF","WAS@PHI","WAS","PHI","4.8"
"Austin Nola","3,600","1B/C","SD@LAA","SD","LAA","4.7"
"Jose Abreu","5,300","1B","CWS@KC","CWS","KC","4.6"
"Edwin Encarnacion","4,000","1B","CWS@KC","CWS","KC","4.5"
"Corey Seager","4,900","SS","ARI@LAD","LAD","ARI","4.4"
"Tyler Wade","2,200","2B/SS","NYY@NYM","NYY","NYM","4.2"
"Howie Kendrick","3,900","1B","WAS@PHI","WAS","PHI","4.1"
"Brett Gardner","2,700","OF","NYY@NYM","NYY","NYM","4.1"
"Kurt Suzuki","3,800","C","WAS@PHI","WAS","PHI","3.8"
"Jorge Soler","4,200","OF","CWS@KC","KC","CWS","3.5"
"Jose Peraza","2,700","2B/OF","TOR@BOS","BOS","TOR","3.2"
"Michael Chavis","3,800","1B/2B","TOR@BOS","BOS","TOR","3.1"
